model, time, acc, loss, tacc, tloss
model-Wed May 20 20:40:38 2020, 1589987439.48, 0.47, 0.25, 0.46, 0.2576
model-Wed May 20 20:40:38 2020, 1589987439.569, 0.54, 0.2493, 0.55, 0.2494
model-Wed May 20 20:40:38 2020, 1589987439.642, 0.5, 0.2499, 0.6, 0.241
model-Wed May 20 20:40:38 2020, 1589987439.71, 0.49, 0.2556, 0.5, 0.2509
model-Wed May 20 20:40:38 2020, 1589987439.776, 0.48, 0.251, 0.51, 0.2499
model-Wed May 20 20:40:38 2020, 1589987439.843, 0.53, 0.2495, 0.55, 0.2482
model-Wed May 20 20:40:38 2020, 1589987439.918, 0.56, 0.2483, 0.51, 0.2513
model-Wed May 20 20:40:38 2020, 1589987440.009, 0.49, 0.2526, 0.52, 0.2497
model-Wed May 20 20:40:38 2020, 1589987440.074, 0.47, 0.2531, 0.55, 0.2482
model-Wed May 20 20:40:38 2020, 1589987440.142, 0.46, 0.2524, 0.43, 0.2523
model-Wed May 20 20:40:38 2020, 1589987440.207, 0.48, 0.2507, 0.53, 0.2493
model-Wed May 20 20:40:38 2020, 1589987440.274, 0.49, 0.2503, 0.55, 0.2492
model-Wed May 20 20:40:38 2020, 1589987440.34, 0.58, 0.2487, 0.51, 0.2499
model-Wed May 20 20:40:38 2020, 1589987440.408, 0.46, 0.2507, 0.48, 0.2503
model-Wed May 20 20:40:38 2020, 1589987440.474, 0.59, 0.2487, 0.46, 0.2507
model-Wed May 20 20:40:38 2020, 1589987440.541, 0.55, 0.2491, 0.53, 0.2495
model-Wed May 20 20:40:38 2020, 1589987440.607, 0.43, 0.2517, 0.55, 0.249
model-Wed May 20 20:40:38 2020, 1589987440.677, 0.52, 0.2495, 0.54, 0.2491
model-Wed May 20 20:40:38 2020, 1589987440.743, 0.44, 0.2512, 0.56, 0.2489
model-Wed May 20 20:40:38 2020, 1589987440.819, 0.47, 0.2503, 0.47, 0.2499
model-Wed May 20 20:40:38 2020, 1589987440.886, 0.45, 0.2502, 0.54, 0.2494
model-Wed May 20 20:40:38 2020, 1589987440.953, 0.53, 0.2493, 0.53, 0.2492
model-Wed May 20 20:40:38 2020, 1589987441.019, 0.52, 0.2498, 0.53, 0.2501
model-Wed May 20 20:40:38 2020, 1589987441.085, 0.47, 0.2509, 0.51, 0.2502
model-Wed May 20 20:40:38 2020, 1589987441.151, 0.55, 0.2492, 0.48, 0.2502
model-Wed May 20 20:40:38 2020, 1589987441.216, 0.53, 0.2495, 0.54, 0.2493
model-Wed May 20 20:40:38 2020, 1589987441.282, 0.55, 0.2482, 0.58, 0.2478
model-Wed May 20 20:40:38 2020, 1589987441.348, 0.63, 0.2453, 0.47, 0.2522
model-Wed May 20 20:40:38 2020, 1589987441.413, 0.5, 0.2501, 0.5, 0.2502
model-Wed May 20 20:40:38 2020, 1589987441.48, 0.45, 0.2532, 0.49, 0.2521
model-Wed May 20 20:40:38 2020, 1589987441.545, 0.55, 0.2477, 0.51, 0.2476
model-Wed May 20 20:40:38 2020, 1589987441.612, 0.55, 0.2459, 0.47, 0.2526
model-Wed May 20 20:40:38 2020, 1589987441.696, 0.58, 0.2451, 0.54, 0.2463
model-Wed May 20 20:40:38 2020, 1589987441.763, 0.53, 0.2479, 0.52, 0.2491
model-Wed May 20 20:40:38 2020, 1589987441.83, 0.51, 0.2476, 0.5, 0.2473
model-Wed May 20 20:40:38 2020, 1589987441.898, 0.5, 0.2577, 0.54, 0.2451
model-Wed May 20 20:40:38 2020, 1589987441.963, 0.42, 0.2515, 0.44, 0.2541
model-Wed May 20 20:40:38 2020, 1589987442.032, 0.54, 0.2453, 0.59, 0.2474
model-Wed May 20 20:40:38 2020, 1589987442.097, 0.49, 0.2509, 0.51, 0.2475
model-Wed May 20 20:40:38 2020, 1589987442.164, 0.69, 0.2405, 0.51, 0.2488
model-Wed May 20 20:40:38 2020, 1589987442.229, 0.46, 0.2516, 0.53, 0.2439
model-Wed May 20 20:40:38 2020, 1589987442.297, 0.6, 0.2424, 0.51, 0.2472
model-Wed May 20 20:40:38 2020, 1589987442.362, 0.42, 0.2588, 0.43, 0.2528
model-Wed May 20 20:40:38 2020, 1589987442.428, 0.45, 0.2517, 0.52, 0.2495
model-Wed May 20 20:40:38 2020, 1589987442.502, 0.48, 0.2507, 0.54, 0.2464
model-Wed May 20 20:40:38 2020, 1589987442.579, 0.59, 0.2474, 0.49, 0.246
model-Wed May 20 20:40:38 2020, 1589987442.644, 0.55, 0.2474, 0.55, 0.2466
model-Wed May 20 20:40:38 2020, 1589987442.714, 0.63, 0.2426, 0.55, 0.2438
model-Wed May 20 20:40:38 2020, 1589987442.779, 0.56, 0.2464, 0.55, 0.2493
model-Wed May 20 20:40:38 2020, 1589987442.845, 0.54, 0.2461, 0.5, 0.2511
model-Wed May 20 20:40:38 2020, 1589987442.91, 0.53, 0.248, 0.52, 0.2494
model-Wed May 20 20:40:38 2020, 1589987442.975, 0.58, 0.2425, 0.58, 0.2438
model-Wed May 20 20:40:38 2020, 1589987443.039, 0.52, 0.2486, 0.53, 0.2477
model-Wed May 20 20:40:38 2020, 1589987443.104, 0.46, 0.2514, 0.56, 0.2443
model-Wed May 20 20:40:38 2020, 1589987443.169, 0.59, 0.2381, 0.48, 0.2525
model-Wed May 20 20:40:38 2020, 1589987443.232, 0.58, 0.2441, 0.55, 0.2474
model-Wed May 20 20:40:38 2020, 1589987443.295, 0.46, 0.254, 0.53, 0.2522
model-Wed May 20 20:40:38 2020, 1589987443.361, 0.49, 0.2528, 0.56, 0.2414
model-Wed May 20 20:40:38 2020, 1589987443.424, 0.57, 0.2493, 0.56, 0.2532
model-Wed May 20 20:40:38 2020, 1589987443.499, 0.52, 0.2452, 0.52, 0.2513
model-Wed May 20 20:40:38 2020, 1589987443.563, 0.49, 0.2503, 0.49, 0.2432
model-Wed May 20 20:40:38 2020, 1589987443.628, 0.5, 0.2465, 0.49, 0.2436
model-Wed May 20 20:40:38 2020, 1589987443.691, 0.59, 0.2398, 0.53, 0.2437
model-Wed May 20 20:40:38 2020, 1589987443.763, 0.56, 0.2393, 0.49, 0.2533
model-Wed May 20 20:40:38 2020, 1589987443.829, 0.47, 0.2539, 0.47, 0.2588
model-Wed May 20 20:40:38 2020, 1589987443.895, 0.57, 0.237, 0.55, 0.2461
model-Wed May 20 20:40:38 2020, 1589987443.972, 0.52, 0.2487, 0.53, 0.2387
model-Wed May 20 20:40:38 2020, 1589987444.037, 0.55, 0.2475, 0.52, 0.2465
model-Wed May 20 20:40:38 2020, 1589987444.101, 0.49, 0.2478, 0.57, 0.2407
model-Wed May 20 20:40:38 2020, 1589987444.166, 0.57, 0.2465, 0.53, 0.2457
model-Wed May 20 20:40:38 2020, 1589987444.229, 0.59, 0.2395, 0.5, 0.2503
model-Wed May 20 20:40:38 2020, 1589987444.295, 0.57, 0.2484, 0.48, 0.2569
model-Wed May 20 20:40:38 2020, 1589987444.357, 0.58, 0.2405, 0.52, 0.2446
model-Wed May 20 20:40:38 2020, 1589987444.422, 0.53, 0.245, 0.55, 0.2473
model-Wed May 20 20:40:38 2020, 1589987444.486, 0.54, 0.2465, 0.47, 0.2596
model-Wed May 20 20:40:38 2020, 1589987444.551, 0.53, 0.2454, 0.45, 0.2582
model-Wed May 20 20:40:38 2020, 1589987444.614, 0.5, 0.2554, 0.61, 0.2373
model-Wed May 20 20:40:38 2020, 1589987444.679, 0.56, 0.2433, 0.51, 0.248
model-Wed May 20 20:40:38 2020, 1589987444.745, 0.56, 0.244, 0.61, 0.2443
model-Wed May 20 20:40:38 2020, 1589987444.821, 0.59, 0.2454, 0.54, 0.2542
