time, dskOnReal, dskOnFake, epoch
1590657580.5947, 0.489, 0.4917, 0
1590657580.6415, 0.47, 0.4896, 0
1590657580.6824, 0.451, 0.4865, 0
1590657580.7233, 0.427, 0.4821, 0
1590657580.7562, 0.405, 0.476, 0
1590657580.7881, 0.376, 0.467, 0
1590657580.8161, 0.353, 0.4539, 0
1590657580.844, 0.305, 0.4396, 0
1590657580.872, 0.273, 0.4198, 0
1590657580.8992, 0.256, 0.4007, 0
1590657580.9261, 0.233, 0.3942, 0
1590657580.9521, 0.23, 0.386, 0
1590657580.9792, 0.223, 0.3862, 0
1590657581.0052, 0.236, 0.3913, 0
1590657581.0291, 0.245, 0.4064, 0
1590657581.057, 0.265, 0.427, 0
1590657581.0824, 0.292, 0.4578, 0
1590657581.1063, 0.317, 0.4929, 0
1590657581.1312, 0.353, 0.534, 0
1590657581.1572, 0.385, 0.5746, 0
1590657581.1803, 0.42, 0.6067, 0
1590657581.2172, 0.452, 0.647, 0
1590657581.2482, 0.473, 0.6772, 0
1590657581.2753, 0.491, 0.7092, 0
1590657581.2992, 0.514, 0.7243, 0
1590657581.3281, 0.524, 0.7293, 0
1590657581.3551, 0.542, 0.7315, 0
1590657581.3793, 0.527, 0.7236, 0
1590657581.4102, 0.545, 0.7307, 0
1590657581.4371, 0.552, 0.7519, 0
1590657581.4631, 0.584, 0.7604, 0
1590657581.4901, 0.609, 0.7827, 0
1590657581.515, 0.629, 0.7972, 0
1590657581.54, 0.621, 0.8059, 0
1590657581.5669, 0.626, 0.8193, 0
1590657581.5943, 0.636, 0.8104, 0
1590657581.6213, 0.61, 0.8039, 0
1590657581.6472, 0.583, 0.7912, 0
1590657581.6752, 0.534, 0.7832, 0
1590657581.6982, 0.493, 0.7819, 0
1590657581.7241, 0.442, 0.7616, 0
1590657581.7491, 0.393, 0.7492, 0
1590657581.7762, 0.32, 0.7253, 0
1590657581.8091, 0.269, 0.7004, 0
1590657581.8381, 0.215, 0.6724, 0
1590657581.869, 0.195, 0.6375, 0
1590657581.8952, 0.166, 0.5969, 0
1590657581.9262, 0.129, 0.5803, 0
1590657581.9551, 0.117, 0.5317, 0
1590657581.9833, 0.11, 0.4765, 0
1590657582.0102, 0.088, 0.4434, 0
1590657582.0401, 0.113, 0.422, 0
1590657582.065, 0.118, 0.4264, 0
1590657582.0952, 0.119, 0.4238, 0
1590657582.1202, 0.159, 0.4523, 0
1590657582.1461, 0.178, 0.493, 0
1590657582.1701, 0.199, 0.5422, 0
1590657582.1953, 0.227, 0.595, 0
1590657582.2212, 0.279, 0.6546, 0
1590657582.2461, 0.374, 0.7085, 0
1590657582.2711, 0.38, 0.7262, 0
1590657582.2963, 0.427, 0.7243, 0
1590657582.3212, 0.446, 0.7231, 0
1590657582.3501, 0.428, 0.6813, 0
1590657582.3812, 0.397, 0.6532, 0
1590657582.4092, 0.373, 0.5792, 0
1590657582.4381, 0.352, 0.5395, 0
1590657582.463, 0.334, 0.5133, 0
1590657582.4925, 0.297, 0.5058, 0
1590657582.5234, 0.329, 0.5601, 0
1590657582.5583, 0.292, 0.6382, 0
1590657582.5922, 0.282, 0.7486, 0
1590657582.6202, 0.271, 0.8563, 0
1590657582.6471, 0.254, 0.934, 0
1590657582.676, 0.213, 0.9617, 0
1590657582.7, 0.22, 0.9734, 0
1590657582.7269, 0.176, 0.9794, 0
1590657582.7518, 0.161, 0.9673, 0
1590657582.7777, 0.145, 0.9491, 0
1590657582.8027, 0.118, 0.8951, 0
1590657582.8266, 0.095, 0.8275, 0
1590657582.8516, 0.102, 0.8064, 0
1590657582.8775, 0.091, 0.8572, 0
1590657582.9014, 0.117, 0.8712, 0
1590657582.9254, 0.122, 0.9223, 0
1590657582.9503, 0.143, 0.9584, 0
1590657582.9762, 0.182, 0.9643, 0
1590657583.0031, 0.19, 0.9633, 0
