time,D_loss_real,D_loss_fake,G_loss,epoch
1591718782.8495,0.65,0.769,85.833,0
1591718782.8933,0.697,0.649,72.107,0
1591718782.9322,0.61,0.619,79.388,0
1591718782.9701,0.656,0.624,81.789,0
1591718783.008,0.636,0.663,75.225,0
1591718783.0528,0.797,0.465,81.233,0
1591718783.0887,0.351,0.526,65.908,0
1591718783.1256,0.364,0.502,73.176,0
1591718783.1685,0.303,0.361,66.125,0
1591718783.2124,0.335,0.372,70.805,0
1591718783.2553,0.421,0.299,68.811,0
1591718783.2962,0.484,0.318,65.652,0
1591718783.3311,0.312,0.349,60.708,0
1591718783.366,0.325,0.339,64.977,0
1591718783.4029,0.306,0.409,54.66,0
1591718783.4398,0.367,0.557,62.545,0
1591718783.4747,0.347,0.933,56.932,0
1591718783.5176,0.343,0.311,49.857,0
1591718783.5535,0.674,0.462,52.666,0
1591718783.5874,3.188,0.369,61.112,0
1591718783.6293,0.657,0.321,58.031,0
1591718783.6632,1.584,0.344,57.463,0
1591718783.7001,0.329,0.963,50.469,0
1591718783.739,0.31,1.512,51.848,0
1591718783.7769,0.385,1.087,54.715,0
1591718783.8258,0.306,0.957,49.452,0
1591718783.8796,0.381,0.368,60.18,0
1591718783.9295,0.43,0.32,48.795,0
1591718783.9684,0.329,0.303,49.185,0
1591718784.0062,0.299,0.305,46.423,0
1591718784.0422,0.385,0.302,50.067,0
1591718784.0871,0.438,0.31,42.918,0
1591718784.1279,0.529,0.288,47.111,0
1591718784.1709,0.299,0.349,40.981,0
1591718784.2068,0.339,0.331,40.231,0
1591718784.2506,0.65,0.366,57.493,0
1591718784.2925,0.352,0.442,39.64,0
1591718784.3284,1.288,0.315,52.551,0
1591718784.3703,0.294,0.364,40.389,0
1591718784.4052,0.433,0.382,50.567,0
1591718784.4401,0.556,0.379,47.824,0
1591718784.478,0.315,0.554,45.96,0
1591718784.5129,0.752,0.569,60.147,0
1591718784.5498,0.349,0.383,44.982,0
1591718784.5857,0.392,0.581,54.323,0
1591718784.6206,0.287,0.315,43.489,0
1591718784.6555,0.308,0.324,39.849,0
1591718784.6954,0.392,0.313,43.455,0
1591718784.7313,0.382,0.312,41.761,0
1591718784.7662,0.299,0.596,45.945,0
1591718784.8032,0.319,0.68,44.164,0
1591718784.8381,0.306,0.487,43.82,0
1591718784.878,0.285,0.315,38.216,0
1591718784.9189,0.302,0.297,42.507,0
1591718784.9538,0.441,0.346,43.287,0
1591718784.9887,0.392,0.316,41.628,0
1591718785.0266,0.299,0.759,46.099,0
1591718785.0625,0.389,0.45,45.411,0
1591718785.1023,0.407,0.303,39.768,0
1591718785.1452,0.485,0.305,43.653,0
1591718785.1842,0.354,0.356,43.171,0
1591718785.225,1.328,0.37,52.996,0
1591718785.2659,0.298,0.714,46.702,0
1591718785.3138,0.303,0.324,42.436,0
1591718785.3497,0.301,0.337,40.855,0
1591718785.3886,0.309,0.288,41.7,0
1591718785.4245,0.446,0.295,39.568,0
1591718785.4594,0.311,0.298,41.399,0
1591718785.4963,0.288,0.29,37.252,0
1591718785.5312,0.344,0.333,42.045,0
1591718785.5661,0.354,0.358,39.703,0
1591718785.608,0.299,0.409,38.78,0
1591718785.6439,0.29,0.366,42.644,0
1591718785.6848,0.34,0.31,48.331,0
1591718785.7237,0.309,0.351,42.277,0
1591718785.7606,0.298,0.323,40.821,0
1591718785.8015,0.376,0.316,39.508,0
1591718785.8503,0.364,0.336,38.596,0
1591718785.8943,0.342,0.323,47.04,0
1591718785.9321,0.429,0.348,41.01,0
1591718785.97,0.295,0.306,55.766,0
1591718786.0109,0.345,0.296,41.516,0
1591718786.0488,0.297,0.317,40.099,0
1591718786.0927,0.325,0.313,41.236,0
1591718786.1362,0.322,0.296,38.385,0
1591718786.1771,0.397,0.307,46.413,0
1591718786.216,0.32,0.496,36.747,0
1591718786.2609,0.309,0.314,40.0,0
1591718786.2988,0.339,0.33,40.237,0
1591718786.3407,0.316,0.549,40.756,0
1591718786.3886,0.309,0.306,36.656,0
1591718786.4245,0.296,0.296,41.453,0
1591718786.4614,0.286,0.309,40.664,0
1591718786.4965,0.422,0.299,46.523,0
1591718786.5373,0.315,0.301,40.281,0
1591718786.5752,0.307,0.326,47.384,0
1591718786.6109,0.338,0.317,42.218,0
1591718786.6511,0.96,0.323,46.294,0
1591718786.688,0.375,0.292,44.07,0
1591718786.7229,0.289,0.308,42.806,0
1591718786.7578,0.31,0.3,36.63,0
1591718786.7957,0.31,0.337,39.541,0
1591718786.8306,0.31,0.3,38.196,0
1591718786.8655,0.31,0.327,34.55,0
1591718786.9014,0.319,0.371,35.916,0
1591718786.9353,0.316,0.297,34.042,0
1591718786.9702,0.3,0.302,35.152,0
1591718787.0091,0.3,0.353,39.747,0
1591718787.049,0.301,0.286,32.428,0
1591718787.0849,0.358,0.313,36.16,0
1591718787.1208,0.297,0.422,35.433,0
1591718787.1557,0.295,0.297,36.024,0
1591718787.1906,0.287,0.301,35.682,0
1591718787.2306,0.287,0.304,39.405,0
1591718787.2675,0.285,0.3,36.166,0
1591718787.3064,0.353,0.335,36.713,0
1591718787.3452,0.314,0.302,42.425,0
1591718787.3801,0.284,0.287,33.131,0
1591718787.415,0.282,0.29,35.446,0
1591718787.452,0.281,0.287,32.256,0
1591718787.4888,0.327,0.296,32.94,0
1591718787.5317,0.282,0.283,33.963,0
1591718787.5696,0.283,0.285,30.253,0
1591718787.6055,0.281,0.283,32.024,0
1591718787.6424,0.393,0.288,37.795,0
1591718787.6803,0.284,0.286,36.906,0
1591718787.7162,0.294,0.305,44.281,0
1591718787.7532,0.286,0.288,32.928,0
1591718787.792,0.282,0.287,33.766,0
1591718787.8279,0.282,0.284,36.623,0
1591718787.8638,0.282,0.286,38.931,0
1591718787.8999,0.282,0.285,32.94,0
1591718787.9407,0.283,0.296,33.682,0
1591718787.9767,0.284,0.281,29.396,0
1591718788.0136,0.284,0.294,33.32,0
1591718788.0544,0.283,0.284,30.656,0
1591718788.1023,0.282,0.283,30.038,0
1591718788.1522,0.284,0.289,31.863,0
1591718788.1891,0.282,0.285,33.181,0
1591718788.225,0.285,0.285,29.422,0
1591718788.2659,0.283,0.289,28.6,0
1591718788.3048,0.282,0.283,34.831,0
1591718788.3427,0.287,0.284,34.427,0
1591718788.3915,0.284,0.282,31.53,0
1591718788.4285,0.283,0.283,40.569,0
1591718788.4683,0.286,0.287,33.006,0
1591718788.5102,0.283,0.283,32.05,0
1591718788.5501,0.284,0.296,36.846,0
1591718788.587,0.28,0.282,28.73,0
1591718788.6329,0.285,0.296,31.834,0
1591718788.6818,0.283,0.286,37.692,0
1591718788.7246,0.282,0.297,31.046,0
1591718788.7625,0.286,0.288,33.728,0
1591718788.8094,0.288,0.291,35.171,0
1591718788.8533,0.282,0.285,29.788,0
1591718788.8912,0.281,0.547,33.282,0
1591718788.9281,0.283,0.288,29.229,0
1591718788.968,0.283,0.292,31.942,0
1591718789.0059,0.29,0.289,33.502,0
1591718789.0407,0.288,0.293,28.875,0
1591718789.0786,0.295,0.292,29.604,0
